solver,n,time_seconds,memory_kb,cost,route
Força Bruta,2,6.0200000007171184e-05,1.6875,104,P1 P2
Força Bruta,3,8.70000003487803e-05,2.2890625,144,P2 P3 P1
Força Bruta,4,0.00020980000044801272,2.6015625,124,P3 P2 P1 P4
Força Bruta,5,0.0008987000001070555,3.609375,112,P4 P5 P3 P1 P2
Força Bruta,6,0.005265600000711856,4.078125,136,P3 P5 P2 P1 P6 P4
Força Bruta,7,0.03843810000034864,5.8984375,178,P6 P7 P4 P5 P1 P3 P2
Força Bruta,8,0.3005927000012889,6.2890625,164,P4 P3 P6 P7 P1 P5 P2 P8
Força Bruta,9,2.8487227000005078,10.859375,188,P1 P4 P7 P8 P6 P5 P9 P3 P2
Força Bruta,10,31.231407799999943,10.6015625,214,P9 P2 P8 P3 P1 P6 P4 P10 P7 P5
DFS com Poda,2,6.659999962721486e-05,1.9765625,104,P1 P2
DFS com Poda,3,9.580000005371403e-05,2.640625,144,P1 P3 P2
DFS com Poda,4,0.00037969999902998097,2.8515625,124,P4 P1 P2 P3
DFS com Poda,5,0.0008957999998528976,4.1875,112,P4 P5 P3 P1 P2
DFS com Poda,6,0.0047880999991321005,5.3984375,136,P4 P6 P1 P2 P5 P3
DFS com Poda,7,0.021883699999307282,9.96875,178,P2 P3 P1 P5 P4 P7 P6
DFS com Poda,8,0.15578959999947983,11.6796875,164,P4 P3 P6 P7 P1 P5 P2 P8
DFS com Poda,9,0.5064529000010225,15.875,188,P1 P4 P7 P8 P6 P5 P9 P3 P2
DFS com Poda,10,4.309604100000797,17.8828125,214,P9 P2 P8 P3 P1 P6 P4 P10 P7 P5
DFS com Poda,11,21.65211719999934,13.375,204,P2 P6 P10 P7 P4 P3 P8 P1 P11 P5 P9
DFS com Poda,12,79.0927030999992,13.5234375,202,P2 P7 P4 P11 P1 P8 P6 P12 P3 P9 P5 P10
DFS com Poda,13,125.17297470000085,23.5703125,208,P2 P13 P4 P9 P8 P3 P7 P6 P10 P1 P11 P5 P12
DFS com Poda,14,688.7685801000007,31.15625,206,P11 P9 P5 P8 P12 P14 P3 P10 P13 P1 P7 P4 P6 P2
MST + Poda,2,0.0001526000014564488,3.703125,104,P2 P1
MST + Poda,3,0.00021580000066023786,4.890625,144,P1 P3 P2
MST + Poda,4,0.00040079999962472357,7.1875,124,P4 P1 P2 P3
MST + Poda,5,0.0007724000006419374,12.234375,112,P4 P5 P3 P1 P2
MST + Poda,6,0.002523700000892859,23.140625,136,P3 P5 P2 P1 P6 P4
MST + Poda,7,0.0033060000005207257,34.375,178,P2 P3 P1 P5 P4 P7 P6
MST + Poda,8,0.014423999999053194,85.6640625,164,P8 P2 P5 P1 P7 P6 P3 P4
MST + Poda,9,0.007763300000078743,75.9609375,188,P2 P3 P9 P5 P6 P8 P7 P4 P1
MST + Poda,10,0.010712199999034056,88.0234375,214,P9 P2 P8 P3 P1 P6 P4 P10 P7 P5
MST + Poda,11,0.07447479999973439,428.8671875,204,P2 P6 P10 P7 P4 P3 P8 P1 P11 P5 P9
MST + Poda,12,0.08135799999945448,534.3515625,202,P2 P7 P4 P11 P1 P8 P6 P12 P3 P9 P5 P10
MST + Poda,13,0.014343099999678088,128.6796875,208,P2 P13 P4 P9 P8 P3 P7 P6 P10 P1 P11 P5 P12
MST + Poda,14,0.14917939999941154,704.859375,206,P2 P6 P4 P7 P1 P13 P10 P3 P14 P12 P8 P5 P9 P11
MST + Poda,15,0.5036763999996765,2656.1171875,214,P1 P9 P15 P10 P3 P11 P4 P13 P6 P8 P12 P14 P2 P5 P7
MST + Poda,16,0.262002699999357,1248.5625,222,P7 P3 P11 P2 P9 P16 P12 P14 P13 P4 P15 P6 P1 P5 P8 P10
MST + Poda,17,1.1315075999991677,2909.0078125,246,P2 P13 P15 P17 P4 P9 P14 P16 P1 P12 P6 P11 P3 P7 P5 P10 P8
MST + Poda,18,0.8837701000011293,2593.375,220,P10 P17 P4 P14 P12 P9 P16 P15 P2 P1 P7 P5 P6 P11 P3 P13 P8 P18
MST + Poda,19,26.602792400000908,48863.6640625,216,P8 P6 P14 P11 P15 P12 P2 P1 P13 P7 P16 P9 P5 P19 P10 P18 P4 P3 P17
MST + Poda,20,4.750883400000021,8114.609375,222,P10 P3 P20 P18 P7 P8 P17 P4 P9 P11 P12 P19 P6 P2 P1 P5 P14 P13 P16 P15
MST + Poda,21,2.0560674000007566,4991.4375,260,P9 P8 P19 P12 P7 P11 P6 P3 P16 P14 P17 P4 P2 P21 P1 P5 P18 P15 P20 P10 P13
MST + Poda,22,16.75460799999928,33112.34375,284,P13 P6 P1 P10 P3 P20 P21 P7 P4 P9 P17 P22 P12 P14 P15 P18 P2 P11 P16 P5 P8 P19
Algoritmo Genético,2,0.13943269999981567,11.3359375,104,P1 P2
Algoritmo Genético,3,0.1503848000011203,12.1171875,144,P2 P3 P1
Algoritmo Genético,4,0.1726423000000068,13.1484375,124,P4 P1 P2 P3
Algoritmo Genético,5,0.18983599999955914,15.5546875,112,P4 P5 P3 P1 P2
Algoritmo Genético,6,0.20681950000107463,16.53125,144,P4 P5 P6 P1 P2 P3
Algoritmo Genético,7,0.2352671000007831,18.8046875,178,P2 P3 P1 P5 P4 P7 P6
Algoritmo Genético,8,0.2478023999992729,19.640625,164,P4 P3 P6 P7 P1 P5 P2 P8
Algoritmo Genético,9,0.2892818000000261,23.1015625,208,P1 P4 P7 P6 P5 P9 P3 P2 P8
Algoritmo Genético,10,0.3615374000000884,23.7265625,214,P9 P2 P8 P3 P1 P6 P4 P10 P7 P5
Algoritmo Genético,11,0.3796894999995857,24.5703125,222,P9 P5 P8 P11 P1 P7 P10 P6 P3 P4 P2
Algoritmo Genético,12,0.44382690000020375,25.875,234,P2 P10 P11 P1 P8 P6 P5 P9 P3 P12 P4 P7
Algoritmo Genético,13,0.504626100000678,31.0390625,286,P5 P11 P6 P13 P4 P9 P3 P8 P1 P7 P10 P12 P2
Algoritmo Genético,14,0.5400964000000386,32.53125,242,P2 P7 P1 P10 P13 P12 P3 P14 P8 P5 P9 P11 P6 P4
Algoritmo Genético,15,0.5945750999999291,33.078125,302,P1 P10 P3 P11 P13 P6 P4 P15 P9 P7 P8 P14 P12 P2 P5
Algoritmo Genético,16,0.6615235000008397,34.4375,356,P2 P10 P7 P3 P16 P9 P11 P12 P14 P4 P6 P15 P13 P5 P8 P1
